precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHENEA OVIDIU-VALERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","UDREA LUCREŢIU-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CLĂDIRE PRIMĂRIE -FOST SEDIU CAP BĂCĂLEȘTI",133,"CĂLMĂŢUIU DE SUS",152467,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:40:43",733,671,1,13,48,529,468,0,13,48,510,19,725,186,274,236
36,TELEORMAN,"GRĂDINIȚA DE COPII CU PROGRAM NORMAL NR.1 CĂLMĂȚUIU DE SUS",132,"CĂLMĂŢUIU DE SUS",152467,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:21:12",630,590,0,11,29,448,409,0,10,29,434,14,641,193,186,248
36,TELEORMAN,"GRĂDINIȚA DE COPII CU PROGRAM NORMAL NR. 3 IONAȘCU",134,"CĂLMĂŢUIU DE SUS",152467,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:19",290,264,0,8,18,221,195,0,8,18,208,13,290,69,74,134
