county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","CORĂBIAN ADRIANA-MARIA-voturi","CORĂBIAN ADRIANA-MARIA-mandate-faza-1","CORĂBIAN ADRIANA-MARIA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","SÎMBOUAN VIOREL-voturi","SÎMBOUAN VIOREL-mandate-faza-1","SÎMBOUAN VIOREL-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","SÎMBOAN ALEXANDRU-TEODOR-voturi","SÎMBOAN ALEXANDRU-TEODOR-mandate-faza-1","SÎMBOAN ALEXANDRU-TEODOR-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","POENAR IOAN-voturi","POENAR IOAN-mandate-faza-1","POENAR IOAN-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","ROMAN CRISTIAN-VASILE-voturi","ROMAN CRISTIAN-VASILE-mandate-faza-1","ROMAN CRISTIAN-VASILE-mandate-faza-2","SÎNGEORZAN ŞTEFAN-voturi","SÎNGEORZAN ŞTEFAN-mandate-faza-1","SÎNGEORZAN ŞTEFAN-mandate-faza-2","SÂNGEORZAN VASILE-voturi","SÂNGEORZAN VASILE-mandate-faza-1","SÂNGEORZAN VASILE-mandate-faza-2","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ELECTORALĂ PSD PNL-mandate-faza-1","ALIANȚA ELECTORALĂ PSD PNL-mandate-faza-2","FELECAN IOAN-GABRIEL-voturi","FELECAN IOAN-GABRIEL-mandate-faza-1","FELECAN IOAN-GABRIEL-mandate-faza-2","BULŢA VIOREL-voturi","BULŢA VIOREL-mandate-faza-1","BULŢA VIOREL-mandate-faza-2","TAHÎŞ IOAN-voturi","TAHÎŞ IOAN-mandate-faza-1","TAHÎŞ IOAN-mandate-faza-2","MĂGUREAN ALEXANDRU-DACIAN-voturi","MĂGUREAN ALEXANDRU-DACIAN-mandate-faza-1","MĂGUREAN ALEXANDRU-DACIAN-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","TODEREL IOAN-voturi","TODEREL IOAN-mandate-faza-1","TODEREL IOAN-mandate-faza-2","TANCOVICI SILVIU-OVIDIU-voturi","TANCOVICI SILVIU-OVIDIU-mandate-faza-1","TANCOVICI SILVIU-OVIDIU-mandate-faza-2","FETTI ROMANA-IULIA-voturi","FETTI ROMANA-IULIA-mandate-faza-1","FETTI ROMANA-IULIA-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","MAGDEA MIRCEA-FLORIN-voturi","MAGDEA MIRCEA-FLORIN-mandate-faza-1","MAGDEA MIRCEA-FLORIN-mandate-faza-2","VLAŞIN GELU-voturi","VLAŞIN GELU-mandate-faza-1","VLAŞIN GELU-mandate-faza-2"
6,BISTRIŢA-NĂSĂUD,"BISTRIŢA BÂRGĂULUI",32633,2,FINAL,UAT,CL,CL_CE,"2024-06-27 16:04:16",3630,3586,4,23,17,1981,1941,0,23,17,1917,64,4000,2019,95,134,153,147,1192,8,0,291,1,1,179,1,0,95,0,1,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,BRANIŞTEA,32660,2,FINAL,UAT,CL,CL_CE,"2024-06-28 13:22:25",2574,2463,3,25,83,1760,1651,1,25,83,1723,37,2731,971,86,120,137,149,292,1,1,325,2,1,16,0,0,0,0,0,0,0,0,903,6,0,39,0,0,26,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,"BUDACU DE JOS",32704,1,FINAL,UAT,CL,CL_CE,"2024-06-10 06:51:21",2689,2626,4,15,44,1638,1579,1,15,43,1589,48,2940,1303,79,111,127,118,1040,8,1,187,1,0,317,2,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,BUDEŞTI,32768,2,FINAL,UAT,CL,CL_CE,"2024-06-27 14:30:27",1387,1318,1,27,41,909,841,0,27,41,837,72,1429,520,41,58,66,71,405,5,1,279,3,1,33,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂIANU MIC",32811,2,FINAL,UAT,CL,CL_CE,"2024-06-28 09:30:09",3076,2945,2,7,122,1689,1560,0,7,122,1641,48,3529,1840,82,114,131,126,1197,9,0,106,0,1,214,1,1,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,CETATE,32884,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:42:24",2399,2356,4,19,20,1604,1565,0,19,20,1562,42,2595,991,78,109,124,111,630,5,1,660,5,1,157,1,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,CHIOCHIŞ,33015,2,FINAL,UAT,CL,CL_CE,"2024-06-28 09:38:19",2243,2155,1,30,57,1503,1416,0,30,57,1448,54,2283,780,72,101,115,123,518,4,0,395,3,0,81,0,1,0,0,0,49,0,0,366,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,CHIUZA,33122,2,FINAL,UAT,CL,CL_CE,"2024-06-27 16:18:32",1832,1756,3,50,23,1236,1163,0,50,23,1180,34,1893,679,59,82,94,107,427,3,1,335,3,0,189,1,1,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,CICEU-GIURGEŞTI,32955,2,FINAL,UAT,CL,CL_CE,"2024-06-28 09:44:41",1211,1098,0,44,69,985,872,0,44,69,823,49,1241,369,41,57,65,86,290,3,0,261,3,0,97,1,0,33,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BISTRIŢA-NĂSĂUD,CICEU-MIHĂIEŞTI,179953,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:28:06",975,946,2,20,7,554,526,1,20,7,505,49,976,422,25,35,40,56,235,4,0,80,1,0,40,0,1,0,0,0,109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
