precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VRAGIA IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVASZUK MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","OANEA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBUL IULIAN-OVIDIU-UNIUNEA SALVAȚI ROMÂNIA-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",352,"OCNA ŞUGATAG",108400,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:04:37",245,239,0,5,1,168,162,0,5,1,155,7,264,102,9,26,117,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",351,"OCNA ŞUGATAG",108400,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:11",861,837,3,11,10,527,505,1,11,10,516,11,932,405,11,29,470,6
26,MARAMUREŞ,"SALA DE FESTIVITĂȚI",350,"OCNA ŞUGATAG",108400,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:39",1451,1429,5,13,4,748,729,2,13,4,724,24,1600,852,37,77,568,42
26,MARAMUREŞ,"ŞCOALA GENERALĂ",353,"OCNA ŞUGATAG",108400,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:59",962,946,0,6,10,598,582,0,6,10,583,15,1060,462,187,73,319,4
