precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAŞC ROXANA-BIANCA-PARTIDUL NAȚIONAL LIBERAL-voturi","CIFOR-TINIŞ IOAN-SEBASTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŞOIMUŞ",256,ŞIEU,34645,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:51:35",115,109,0,6,0,86,80,0,6,0,86,0,139,53,1,85
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ŞIEU",253,ŞIEU,34645,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:39",1077,1062,1,0,14,651,637,0,0,14,642,9,1200,549,110,532
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ ARDAN",254,ŞIEU,34645,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:14",574,572,0,2,0,350,348,0,2,0,332,18,600,250,42,290
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ POSMUŞ",255,ŞIEU,34645,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:52:00",549,538,1,6,4,303,293,0,6,4,284,19,600,297,40,244
