precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRE LAURA-VIORICA-PARTIDUL SOCIAL DEMOCRAT-voturi","RADU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GANEA NICOLETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞC. GIMNAZIALĂ NR.1 DICHISENI",112,DICHISENI,93325,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:30:20",716,653,1,29,33,494,433,0,29,32,482,12,755,261,127,337,18
12,CĂLĂRAŞI,"ŞC. PRIMARĂ NR.1",113,DICHISENI,93325,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:11:41",759,708,0,20,31,540,489,0,20,31,536,4,3250,1095,156,353,27
