precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"URETU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂDUŢ MARIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:00",744,669,0,3,72,480,405,0,3,72,469,11,721,241,201,268
36,TELEORMAN,"ŞCOALA PRIMARĂ",334,ZÂMBREASCA,154978,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:32",390,348,0,3,39,270,228,0,3,39,265,5,390,120,53,212
