precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNTEAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","DODA MARIUS-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",465,VULCAN,42398,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:43:03",1803,1789,8,4,2,1118,1110,2,4,2,1069,49,1950,832,395,674
8,BRAŞOV,"CAMINUL CULTURAL VULCAN",464,VULCAN,42398,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:21:21",1709,1694,5,2,8,1106,1096,0,2,8,1083,23,1900,794,506,577
8,BRAŞOV,"CLĂDIRE ȘCOALA COLONIA 1 MAI",466,VULCAN,42398,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:25",736,726,1,9,0,476,467,0,9,0,446,30,800,324,138,308
