precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLDOVAN LAURA-PETRUŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","TĂTAR DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BÁNYAI ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CIOTLĂUŞ CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",433,LIVEZENI,117925,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:12",1450,1426,18,5,1,794,788,0,5,1,755,39,1550,756,123,25,431,176
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",432,LIVEZENI,117925,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:05",1056,1039,6,5,6,601,587,3,5,6,581,20,1158,557,55,7,400,119
28,MUREŞ,"ȘCOALA PRIMARĂ IVĂNEȘTI",434,LIVEZENI,117925,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:15",446,435,1,10,0,205,195,0,10,0,200,5,465,260,27,47,89,37
28,MUREŞ,"ȘCOALA PRIMARĂ POIENIȚA",435,LIVEZENI,117925,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:36",282,270,0,12,0,153,141,0,12,0,146,7,301,148,9,3,43,91
28,MUREŞ,"ȘCOALA PRIMARĂ SÂNIȘOR",436,LIVEZENI,117925,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:30:40",231,221,0,7,3,127,117,0,7,3,123,4,251,124,5,5,94,19
