precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANŢERU CORNEL-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LECA CONSTANTIN-EMILIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CĂMIN CULTURAL POIENARI",431,"POIENARII DE ARGEŞ",17913,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:29",596,564,0,22,10,453,421,0,22,10,445,8,621,168,282,163
3,ARGEŞ,"ŞCOALA GENERALĂ I-IV IOANICEŞTI",432,"POIENARII DE ARGEŞ",17913,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:41",203,185,0,14,4,151,133,0,14,4,149,2,200,49,99,50
