precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBU COSMIN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOALII GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL TELIU",441,TELIU,42058,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:13",1034,1015,0,10,9,652,633,0,10,9,636,16,1100,448,466,170
8,BRAŞOV,"ȘCOALĂ GENERALĂ TELIU",440,TELIU,42058,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:29",1529,1515,0,8,6,1067,1053,0,8,6,1019,48,1682,615,88,931
8,BRAŞOV,"ȘCOALĂ GENERALĂ TELIU VALE",442,TELIU,42058,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:01:28",824,807,0,7,10,603,586,0,7,10,585,18,899,296,515,70
