precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ RĂCHITA",386,DUMBRAVA,156767,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:10:09",904,893,1,2,8,573,563,0,2,8,539,34,999,426,233,73,169,19,7,12,26
37,TIMIŞ,"ŞCOALA PRIMARĂ BUCOVĂȚ",385,DUMBRAVA,156767,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:05",394,383,0,5,6,306,295,0,5,6,299,7,504,198,91,32,141,10,10,3,12
37,TIMIŞ,"SEDIUL PRIMARIEI DUMBRAVA",384,DUMBRAVA,156767,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:29:33",930,911,1,5,13,529,511,0,5,13,502,27,1000,471,40,39,135,153,44,2,89
