precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",300,COROIENI,107868,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:42",171,158,0,4,9,107,94,0,4,9,104,3,200,93,1,41,53,8,1,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",298,COROIENI,107868,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:34",349,339,0,2,8,242,232,0,2,8,234,8,350,108,4,15,150,62,1,2
26,MARAMUREŞ,PRIMÃRIE,297,COROIENI,107868,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:58:08",305,291,0,8,6,193,179,0,8,6,189,4,305,112,47,18,78,42,4,0
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-IV",299,COROIENI,107868,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:00",163,149,0,8,6,117,103,0,8,6,113,4,200,83,3,73,25,4,8,0
26,MARAMUREŞ,"ŞCOALA GENERALÃ",301,COROIENI,107868,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:55",426,417,0,4,5,307,298,0,4,5,293,13,499,193,18,95,65,112,2,1
26,MARAMUREŞ,"ȘCOALA PRIMARĂ PONORÂTA",302,COROIENI,107868,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:25",378,371,0,7,0,313,306,0,7,0,209,103,400,88,2,11,171,8,0,17
