precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHEORGHE CONSTANTIN-ROBERT-UNIUNEA SALVAȚI ROMÂNIA-voturi","NANU CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ALEXANDRU DAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL",389,CORNU,132805,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:49:21",821,799,1,0,21,535,514,0,0,21,528,7,905,370,67,438,23
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL",387,CORNU,132805,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:23",1339,1302,6,3,28,702,671,0,3,28,677,25,1500,798,39,590,48
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ”PROFESOR CRISTEA STĂNESCU”",388,CORNU,132805,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:34",1431,1405,0,17,9,849,823,0,17,9,841,8,1500,651,70,750,21
