precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRAGOMIR MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PERDUN PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","DOBRANICI DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BUSUIOC PAUL-CIPRIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 1, DELEŞTI",270,DELEŞTI,163379,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:43",560,555,1,3,1,281,276,1,3,1,275,6,600,319,47,80,104,44
39,VASLUI,"ŞCOALA PRIMARĂ, ALBEŞTI",271,DELEŞTI,163379,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:22",143,138,0,5,0,70,65,0,5,0,67,3,150,80,11,31,23,2
39,VASLUI,"ŞCOALA PRIMARĂ, FUNDĂTURA",272,DELEŞTI,163379,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:26:47",291,290,0,1,0,136,135,0,1,0,133,3,300,164,17,41,75,0
39,VASLUI,"ȘCOALA PRIMARĂ HÂRȘOVA",273,DELEŞTI,163379,3,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:10",369,363,0,5,1,201,195,0,5,1,191,10,400,199,30,66,93,2
39,VASLUI,"ŞCOALA PRIMARĂ, MÎNĂSTIREA",274,DELEŞTI,163379,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:21:03",130,126,0,4,0,77,73,0,4,0,71,6,160,83,4,17,49,1
39,VASLUI,"ŞCOALA PRIMARĂ, RĂDUIEȘTI",275,DELEŞTI,163379,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:41",166,162,0,4,0,92,88,0,4,0,88,4,200,108,11,33,41,3
