precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PHRALIPE AL ROMILOR-voturi","FLOREA PAUL-VICTOR-voturi","SZABO-BUZATU GABRIEL-voturi","GAVRILĂ-PAVEN IONELA-voturi"
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:27",1253,1242,2,9,0,458,449,0,9,0,444,14,1400,942,88,73,178,25,40,7,1,17,1,14
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:41",1087,1078,0,8,1,437,428,0,8,1,423,14,1100,663,106,58,169,10,48,1,1,17,2,11
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:34:37",1286,1278,6,1,1,609,607,0,1,1,592,17,1404,795,130,108,228,19,44,9,5,22,3,24
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:24",1277,1232,0,45,0,662,617,0,45,0,641,21,1400,738,116,65,293,12,69,14,2,35,3,32
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:20",717,707,0,10,0,283,273,0,10,0,277,6,800,517,68,38,100,4,26,5,2,18,1,15
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:40:12",1760,1747,5,7,1,878,870,0,7,1,851,27,2000,1121,169,140,347,17,72,24,5,43,7,27
1,ALBA,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",7,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:39:25",1540,1512,18,6,4,830,820,0,6,4,815,15,1700,870,175,92,349,11,94,5,1,45,5,38
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",11,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:10",910,896,6,8,0,320,312,0,8,0,313,7,1000,680,54,77,106,11,24,4,1,24,3,9
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",9,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:52:31",1848,1818,18,12,0,942,930,0,12,0,923,19,1900,958,177,101,411,26,88,14,1,57,4,44
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",8,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:46",967,923,8,33,3,470,434,0,33,3,451,19,1000,530,109,54,177,8,39,10,3,25,5,21
