precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IACOBICI GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL CHEIA",450,GRĂDINA,63326,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:02",279,278,0,1,0,181,180,0,1,0,172,9,307,126,172
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL GRĂDINA",449,GRĂDINA,63326,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:23",552,551,0,1,0,330,329,0,1,0,314,16,611,281,314
