precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"ŞCOALA CU CLASELE I-IV BREBENI",143,BREBENI,125999,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:07",949,917,0,23,9,587,555,0,23,9,558,29,1000,413,167,115,209,25,42
30,OLT,"ŞCOALA GIMNAZIALĂ BREBENI",144,BREBENI,125999,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:44:12",1352,1285,0,47,20,963,896,0,47,20,937,26,1391,428,312,200,330,76,19
