precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SOLOMEŞ IACOB-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA ALICENI",307,TÂRŞOLŢ,139143,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:47:36",365,351,0,9,5,144,130,0,9,5,132,12,388,244,20,0,5,76,7,4,1,18,1
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",306,TÂRŞOLŢ,139143,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:36:32",855,842,0,7,6,238,225,0,7,6,216,22,1000,762,6,2,10,109,45,26,5,4,9
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",305,TÂRŞOLŢ,139143,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:30:18",1339,1319,0,8,12,466,446,0,8,12,439,27,1400,934,19,41,25,159,82,49,28,7,29
