precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
28,MUREŞ,"CĂMIN CULTURAL",265,BĂLA,115600,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:57:14",387,340,2,4,41,303,258,0,4,41,278,25,410,107,13,39,44,128,26,28
28,MUREŞ,"ȘCOALA PRIMARĂ",266,BĂLA,115600,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:22:48",121,115,0,6,0,72,66,0,6,0,64,8,124,52,3,21,2,30,3,5
