precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CANTARAGIU NELU-PARTIDUL NAȚIONAL LIBERAL-voturi","NEGOIŢĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
12,CĂLĂRAŞI,"FOSTA SCOALA PRIMARA ZIMBRU",223,ULMU,94606,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:20:19",97,83,0,8,6,67,53,0,8,6,65,2,90,23,2,63
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-IV FAUREI",222,ULMU,94606,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:01:46",304,290,0,5,9,211,197,0,5,9,208,3,320,109,17,191
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-VIII ULMU",221,ULMU,94606,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:01",626,541,0,40,45,447,362,0,40,45,439,8,642,195,85,354
