precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION LAZĂR” LUNCA MUREŞULUI, STRADA GĂRII NR. 241 A",302,"LUNCA MUREŞULUI",5309,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:31",767,751,0,3,13,461,445,0,3,13,425,36,830,369,30,145,100,127,23
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION LAZĂR” LUNCA MUREȘULUI, STRADA GĂRII NR. 241 A",303,"LUNCA MUREŞULUI",5309,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:23",898,882,0,8,8,599,583,0,8,8,559,40,993,394,20,312,38,171,18
1,ALBA,"ŞCOALA PRIMARĂ GURA ARIEŞULUI, STRADA MICĂ NR. 84",304,"LUNCA MUREŞULUI",5309,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:52",357,344,0,11,2,216,203,0,11,2,208,8,365,149,17,25,37,126,3
