precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXE ANASTASE-PARTIDUL SOCIAL DEMOCRAT-voturi","CARAGOP DUMITRU-OCTAVIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ARNĂUTU NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL LĂSTUNI",154,"MIHAIL KOGĂLNICEANU",160877,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:31",373,355,1,6,11,307,290,0,6,11,303,3,407,101,91,9,203
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL RÂNDUNICA",155,"MIHAIL KOGĂLNICEANU",160877,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:51",499,484,0,5,10,346,331,0,5,10,340,6,542,196,118,27,195
38,TULCEA,"ŞCOALA GIMNAZIALĂ MIHAIL KOGĂLNICEANU",153,"MIHAIL KOGĂLNICEANU",160877,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:06",1669,1571,0,55,43,1123,1025,0,55,43,1093,30,1764,641,394,80,619
