precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IOSIF VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRACHE MARIETA-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 SABARENI",204,SĂBĂRENI,179775,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:37",1245,1124,1,95,25,899,779,0,95,25,883,16,1250,351,451,432
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 SABARENI",203,SĂBĂRENI,179775,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:32",1218,1124,3,72,19,872,781,0,72,19,843,29,1244,372,457,386
