precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","MÎRZA IONUŢ-ALEXANDRU-voturi"
26,MARAMUREŞ,"GRĂDINIȚA ȘESU MÂNĂSTIRII",388,ROZAVLEA,108669,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:28",833,791,0,29,13,833,791,0,29,13,448,18,944,466,60,22,301,19,46,0
26,MARAMUREŞ,PRIMĂRIA,387,ROZAVLEA,108669,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:38:51",1986,1894,0,45,47,1143,1051,0,45,47,1079,64,2000,857,125,57,730,10,148,9
