precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:53",673,638,2,20,13,424,391,0,20,13,414,8,700,276,8,175,36,88,71,16,15,5
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:19:20",214,203,3,8,0,132,124,0,8,0,129,3,220,88,7,75,7,14,19,5,2,0
37,TIMIŞ,"CĂMINUL CULTURAL ŢIPARI",365,COŞTEIU,156473,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:23:45",733,712,1,14,6,437,416,1,14,6,416,21,770,333,193,112,14,50,29,13,5,0
37,TIMIŞ,"CĂMINUL CULTURAL VALEA LUNGĂ ROMÂNĂ",366,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:23",134,122,0,8,4,81,69,0,8,4,80,1,187,106,2,49,1,3,16,7,2,0
37,TIMIŞ,"PRIMĂRIA VECHECOŞTEIU",362,COŞTEIU,156473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:06",1221,1176,2,12,31,766,723,0,12,31,729,37,1300,534,23,237,29,283,114,12,29,2
37,TIMIŞ,"ŞCOALA PRIMARĂ HEZERIȘ",363,COŞTEIU,156473,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:07:15",166,148,0,13,5,166,148,0,13,5,163,3,300,134,3,115,8,4,30,1,0,2
