precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JUCAN CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CROITORU VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎMPANU FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FÎRCAL ALEXANDRU-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CASA POLONĂ ”DOM POLSKI”",388,"MĂNĂSTIREA HUMORULUI",149370,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:29",158,151,0,7,0,70,63,0,7,0,70,0,200,130,8,49,8,5
35,SUCEAVA,"CONTAINER MOBIL",390,"MĂNĂSTIREA HUMORULUI",149370,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:03",335,328,0,4,3,185,178,0,4,3,179,6,378,193,21,80,2,76
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”KRYSTINA BOCHENEK” POIANA MICULUI",389,"MĂNĂSTIREA HUMORULUI",149370,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:25",513,510,0,2,1,255,252,0,2,1,253,2,550,295,20,200,2,31
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ MĂNĂSTIREA HUMORULUI",386,"MĂNĂSTIREA HUMORULUI",149370,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:08",1000,986,2,1,11,644,631,1,1,11,628,16,1100,456,197,375,27,29
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ MĂNĂSTIREA HUMORULUI",387,"MĂNĂSTIREA HUMORULUI",149370,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:14",1058,1045,0,1,12,636,623,0,1,12,624,12,1100,464,151,437,19,17
