precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"CĂMINUL CULTURAL",542,MICA,55160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:07",607,591,3,6,7,405,390,2,6,7,393,12,663,258,13,49,8,236,34,53
13,CLUJ,"CĂMINUL CULTURAL",541,MICA,55160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:53",546,523,1,14,8,341,319,0,14,8,332,9,579,238,22,58,6,187,48,11
13,CLUJ,"FOSTUL SEDIU CAP",543,MICA,55160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:59",913,872,1,19,21,594,554,0,19,21,574,20,990,396,10,40,85,370,66,3
13,CLUJ,"ŞCOALA GENERALĂ",544,MICA,55160,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:00",887,871,0,6,10,524,508,0,6,10,499,9,977,469,127,55,92,191,29,5
