precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL OAMENILOR TINERI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:07",1718,1694,18,5,1,937,931,0,5,1,890,37,1900,963,139,62,453,28,14,138,31,25
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:17",2030,2002,12,14,2,1136,1118,2,14,2,1114,22,2200,1064,122,155,444,14,58,194,96,31
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",409,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:25",1853,1822,25,5,1,948,942,0,5,1,921,27,2000,1052,122,50,529,31,18,121,26,24
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ GHIRODA",410,GHIRODA,155289,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:00",2007,1986,7,12,2,1006,991,1,12,2,977,29,2180,1174,145,83,543,13,21,129,25,18
