precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CASA DE CULTURA ”NICOLAE SEVEREANU”",124,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:26",1135,1128,0,7,0,451,444,0,7,0,429,22,1200,749,59,308,20,42
7,BOTOŞANI,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",125,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:23:58",1024,1016,0,6,2,473,465,0,6,2,460,13,1100,627,67,336,26,31
7,BOTOŞANI,"LICEUL TEHNOLOGIC ”NICOLAE BĂLCESCU”",126,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:39:38",1171,1147,0,7,17,535,511,0,7,17,507,28,1300,765,69,357,28,53
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN COMICESCU”",128,"ORAŞ FLĂMÂNZI",37280,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:35",1375,1345,3,10,17,664,634,3,10,17,642,22,1500,836,63,547,20,12
7,BOTOŞANI,"ȘCOALA.GIMNAZIALĂ ”ION BOJOI”",123,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:54",1097,1078,0,5,14,493,474,0,5,14,476,17,1200,707,60,333,28,55
7,BOTOŞANI,"ȘCOALA .GIMNAZIALĂ ”MIHAIL STURZA”",122,"ORAŞ FLĂMÂNZI",37280,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:38:42",866,853,0,5,8,341,328,0,5,8,331,10,1000,659,50,227,33,21
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”MIHAIL STURZA”",121,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:15",627,617,0,6,4,271,261,0,6,4,259,12,700,429,39,186,19,15
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”PETRU ZAMFIRESCU”",130,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:08",491,483,0,7,1,214,206,0,7,1,202,12,569,355,28,150,12,12
7,BOTOŞANI,"ȘCOALA PRIMARĂ ”GHEORGHE PRICOP”",129,"ORAŞ FLĂMÂNZI",37280,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:32",467,458,0,5,4,201,192,0,5,4,194,7,500,299,22,150,11,11
7,BOTOŞANI,"ŞCOALA TAMBA",127,"ORAŞ FLĂMÂNZI",37280,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:18",1037,1004,0,9,24,530,497,0,9,24,512,18,1100,570,57,414,8,33
