precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
31,PRAHOVA,"CĂMIN CULTURAL",285,ADUNAŢI,131899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:14",817,802,0,5,10,575,560,0,5,10,557,18,920,345,100,32,390,35
31,PRAHOVA,"GRĂDINIȚA „CASTELUL PITICILOR”",286,ADUNAŢI,131899,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:49",767,749,0,6,12,557,539,0,6,12,533,24,800,243,98,18,393,24
