precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIORÎCĂ DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","NUŢĂ DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","SALOMIA GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV GROŞI",193,CERNIŞOARA,169039,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:54",715,691,0,14,10,508,484,0,14,10,496,12,770,262,209,148,139
40,VÂLCEA,"ŞCOALA CU CLASELE I-IV OBÎRŞIA",195,CERNIŞOARA,169039,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:46",459,421,0,33,5,320,282,0,33,5,305,15,469,149,215,89,1
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII ARMĂŞEŞTI",191,CERNIŞOARA,169039,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:26",495,471,2,8,14,321,300,0,8,13,308,13,525,204,145,134,29
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII CERNIŞOARA",192,CERNIŞOARA,169039,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:23:36",669,640,0,17,12,470,441,0,17,12,445,25,710,240,293,137,15
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII MĂDULARI",194,CERNIŞOARA,169039,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:58",561,514,0,38,9,402,355,0,38,9,396,6,580,178,302,86,8
