precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CEPOI VASILE-LICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRILĂ-BOTEZATU IOANA-PARTIDUL NAȚIONAL LIBERAL-voturi","VARTOLOMEI DUMITRU-voturi"
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL BROŞTENI",295,DRĂGUŞENI,148382,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:44:56",268,267,0,0,1,132,131,0,0,1,128,4,300,168,91,21,16
35,SUCEAVA,"PRIMĂRIA COMUNEI DRĂGUŞENI",294,DRĂGUŞENI,148382,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:00:26",1811,1735,2,7,67,935,861,0,7,67,894,41,1976,1041,704,40,150
