precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÎMPEAN VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","SCHIAU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","GREAVU DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"PRIMĂRIA TILIŞCA",374,TILIŞCA,145907,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:50:24",836,786,3,27,20,630,582,1,27,20,614,16,863,233,363,202,49
34,SIBIU,"ŞCOALA PRIMARĂ ROD",375,TILIŞCA,145907,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:03",333,316,0,17,0,228,211,0,17,0,218,10,350,122,149,51,18
