precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
5,BIHOR,"CĂMIN CULTURAL MIZIEȘ",381,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:41",463,441,0,13,9,342,320,0,13,9,334,8,482,140,174,65,16,73,2,4
5,BIHOR,"CAMINUL CULTURAL PACALESTI",382,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:51:51",175,164,0,6,5,143,132,0,6,5,141,2,183,40,61,60,3,5,2,10
5,BIHOR,"CAMINUL CULTURAL PANTASESTI",383,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:17",114,108,0,5,1,96,90,0,5,1,92,4,122,26,61,19,2,4,2,4
5,BIHOR,"CAMINUL CULTURAL TIGANESTI",386,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:05:31",127,122,0,3,2,94,89,0,3,2,94,0,139,45,39,45,4,0,2,4
5,BIHOR,"PRIMARIA DRAGANESTI",377,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:38",390,354,1,20,15,326,291,0,20,15,321,5,410,84,182,78,4,6,14,37
5,BIHOR,"SCOALA MAGHIARA GRADINARI",379,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:37:55",262,250,0,8,4,262,250,0,8,4,250,12,414,152,50,48,5,2,131,14
5,BIHOR,"SCOALA PRIMARA BELEJENI",378,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:36:38",245,234,0,3,8,189,178,0,3,8,187,2,269,79,105,49,6,8,5,14
5,BIHOR,"SCOALA PRIMARA LIVADA",380,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:36",113,107,0,3,3,93,87,0,3,3,90,3,121,28,36,30,12,8,2,2
5,BIHOR,"SCOALA PRIMARA TALPE",385,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:04:40",199,191,0,2,6,153,145,0,2,6,146,7,209,56,43,68,3,26,1,5
5,BIHOR,"SCOALA SEBIS",384,DRĂGĂNEŞTI,29243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:43:51",256,247,0,6,3,180,171,0,6,3,176,4,276,96,120,40,6,1,3,6
