precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"GRĂDINIŢA PP1 NR.1 ETAJ, SÂNNICOLAU MARE",295,"ORAŞ SÂNNICOLAU MARE",155528,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:10:43",1456,1438,1,3,14,686,668,1,3,14,669,17,1700,1014,46,53,334,45,104,87
37,TIMIŞ,"GRĂDINIŢA PP1 NR.1 PARTER, SÂNNICOLAU MARE",294,"ORAŞ SÂNNICOLAU MARE",155528,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:02:01",2055,1916,133,3,3,872,865,1,3,3,836,36,2200,1328,32,80,366,76,139,143
37,TIMIŞ,"LICEUL TEHNOLOGIC CRISTOFOR NAKO ORAŞ SÂNNICOLAU MARE",296,"ORAŞ SÂNNICOLAU MARE",155528,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:52:49",1820,1770,3,14,33,764,716,1,14,33,725,39,2000,1234,35,62,349,58,115,106
37,TIMIŞ,"PRIMĂRIA ORAŞULUI SÂNNICOLAU MARE",293,"ORAŞ SÂNNICOLAU MARE",155528,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:08:03",1780,1764,7,3,6,896,884,3,3,6,871,25,1900,1004,43,87,416,53,134,138
37,TIMIŞ,"SALA CASEI DE CULTURĂ (CASTEL NAKO) DEMISOL",292,"ORAŞ SÂNNICOLAU MARE",155528,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:34:45",1539,1521,7,4,7,727,716,0,4,7,697,19,1600,884,45,74,314,43,106,115
37,TIMIŞ,"SALA CASEI DE CULTURĂ (CASTEL NAKO)ETAJ 1",291,"ORAŞ SÂNNICOLAU MARE",155528,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:55:07",1227,1215,1,5,6,569,558,0,5,6,559,10,1400,831,51,55,273,28,62,90
37,TIMIŞ,"ŞCOALA GIMNAZIALA THEODOR BUCURESCU NR.1, SÂNNICOLAU MARE, PARTER",297,"ORAŞ SÂNNICOLAU MARE",155528,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:46:35",1857,1755,0,53,49,871,769,0,53,49,821,19,2000,1160,35,82,382,68,103,151
