precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","ASOCIAŢIA CARITAS SATU MARE CANTRUL SOCIAL DESCHIS LA CASA PRIETENIEI",3,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:31",1005,992,2,10,1,439,427,1,10,1,427,12,1100,661,179,34,56,94,21,34,5,4
32,"SATU MARE","ASOCIAŢIA JUDEŢEANĂ DE FOTBAL ( ŞC. NR.15 )",46,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:30:40",1951,1917,12,10,12,1097,1072,3,10,12,1069,28,2100,1003,775,39,78,89,13,65,2,8
32,"SATU MARE","CENTRUL JUDEȚEAN DE EXCELENȚĂ SATU MARE",48,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:44:50",1646,1616,7,8,15,860,837,0,8,15,847,13,1800,940,618,32,67,70,11,39,1,9
32,"SATU MARE","CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",73,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:31",1056,1049,2,5,0,421,416,0,5,0,416,5,1200,779,210,25,41,74,13,36,3,14
32,"SATU MARE","COLEGIUL ECONOMIC ” GHEORGHE DRAGOŞ ” (GRUP ŞC. ECONOMIC” GHEORGHE DRAGOŞ ”)",70,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:28",1602,1584,5,10,3,796,783,0,10,3,788,8,1800,1004,348,60,89,133,41,95,5,17
32,"SATU MARE","COLEGIUL NAŢIONAL ” DOAMNA STANCA ”",65,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 12:40:21",843,823,4,8,8,377,361,0,8,8,368,9,989,612,217,17,40,44,15,30,0,5
32,"SATU MARE","COLEGIUL NAŢIONAL” MIHAI EMINESCU ”",69,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:37",986,975,5,6,0,436,430,0,6,0,419,17,1100,664,200,24,57,76,16,31,4,11
32,"SATU MARE","COLEGIUL TEHNIC DE TRANSP. ŞI TELECOMUNICAŢII ” I.C. BRĂTIANU ”",61,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:07:17",1234,1220,2,7,5,595,583,0,7,5,586,9,1400,805,277,32,79,90,25,62,5,16
32,"SATU MARE","COLEGIUL TEHNIC ” ELISA ZAMFIRESCU ” (COL.TEHNIC ELISA ZAMFIRESCU(GRUP ŞC. DE INDUSTRIE UŞOARĂ ))",22,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:29:41",1369,1353,1,2,13,658,643,0,2,13,648,10,1500,842,338,38,85,90,29,53,3,12
32,"SATU MARE","GRĂDINIŢA CU PROG. PRELUNGIT ” DUMBRAVA MINUNATĂ ” (GRĂDINIŢA ”DUMBRAVA MINUNATĂ” )",64,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:09:03",1274,1230,27,11,6,654,636,1,11,6,621,33,1297,643,401,35,38,71,30,37,3,6
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",16,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:42",1273,1258,6,9,0,512,503,0,9,0,502,10,1400,888,229,28,60,93,12,67,3,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",17,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 15:07:04",1797,1789,0,5,3,783,775,0,5,3,752,31,2000,1217,298,72,125,121,26,91,3,16
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",72,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:58",1240,1228,7,5,0,497,492,0,5,0,478,19,1400,903,221,36,76,63,22,49,1,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT",71,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:31:56",981,969,3,6,3,390,381,0,6,3,381,9,1100,710,182,39,49,62,6,30,1,12
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT – ” 14 MAI ”",56,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:00",1023,1010,0,10,3,434,421,0,10,3,426,8,1100,666,281,14,35,55,6,27,1,7
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT – ” 14 MAI ”",55,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:15",1454,1434,7,7,6,561,548,0,7,6,544,17,1600,1039,310,36,46,81,12,48,4,7
32,"SATU MARE","GRADINITA CU PROGRAM PRELUNGIT ”DRAGA MEA” (GRADINITA ”DRAGA MEA”(",1,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:18",1905,1886,2,15,2,673,656,0,15,2,644,29,2100,1427,371,51,58,87,13,44,2,18
32,"SATU MARE","GRADINITA CU PROGRAM PRELUNGIT ”DRAGA MEA” (GRADINITA ”DRAGA MEA”(",2,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:19",1565,1551,3,8,3,660,649,0,8,3,648,12,1700,1040,299,52,100,102,36,47,2,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",54,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:58",1365,1260,2,47,56,507,444,0,10,53,491,16,1400,893,341,22,27,49,7,34,2,9
32,"SATU MARE","GRĂDINIŢA CU PROGRAM PRELUNGIT NR.13",32,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:25:58",1167,1160,0,7,0,523,516,0,7,0,517,6,1300,777,325,20,46,73,14,36,1,2
