precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPOVICI IONUŢ-MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","GAIŢA BOGDAN-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ROTARU ANDREI-GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PAVEL EMANUEL-IOSIF-PARTIDUL S.O.S. ROMÂNIA-voturi","ROGIN TUDOR-BOGDAN-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CUPTOARE",66,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:50:19",267,258,2,7,0,104,97,0,7,0,102,2,287,183,24,2,67,4,3,2
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CĂSĂTORII",16,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:48:20",1255,1242,6,7,0,492,485,0,7,0,489,2,1448,957,56,20,387,18,5,3
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CĂSĂTORII",15,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:11:36",1108,1102,0,6,0,482,476,0,6,0,466,16,1220,737,42,17,368,18,10,11
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”MIRCEA ELIADE” - GRĂDINIȚA MONIOM (CORP F)",70,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:01",280,274,0,6,0,113,107,0,6,0,111,2,299,186,17,8,78,3,3,2
11,CARAŞ-SEVERIN,"COLEGIUL NAŢIONAL”MIRCEA ELIADE”,REŞIŢA",42,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:48",871,864,0,6,1,296,289,0,6,1,290,6,954,658,49,15,199,13,9,5
11,CARAŞ-SEVERIN,"COLEGIUL NAŢIONAL”MIRCEA ELIADE”REŞIŢA",41,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:52",916,905,5,6,0,306,300,0,6,0,303,3,1007,701,34,13,236,9,8,3
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”MIRCEA ELIADE” - ȘCOALA CÂLNIC (CORP D)",65,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:19",1361,1354,2,4,1,526,521,0,4,1,511,15,1495,969,164,30,275,13,16,13
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",22,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:40",1146,1139,1,6,0,388,382,0,6,0,382,5,1306,918,49,15,287,14,8,9
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",23,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:40",680,666,6,7,1,269,261,0,7,1,258,11,765,496,33,10,200,11,2,2
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",21,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:41:02",907,892,12,3,0,907,892,12,3,0,287,9,997,504,48,23,185,21,5,5
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU”",20,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:06",1032,1023,2,7,0,327,320,0,7,0,322,5,1135,808,29,20,241,16,6,10
11,CARAŞ-SEVERIN,"COLEGIUL NAȚIONAL ”TRAIAN LALESCU” - ȘCOALA PRIMARĂ",14,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:08",498,490,0,8,0,152,144,0,8,0,144,8,552,400,27,14,96,2,4,1
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC CĂRĂŞAN, REȘIȚA",43,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:57",1084,1076,2,6,0,387,381,0,6,0,381,6,1190,803,51,13,286,20,4,7
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC CĂRĂŞAN, REȘIȚA",44,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:03",922,913,5,4,0,317,313,0,4,0,314,3,1229,912,37,11,238,11,7,10
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC REȘIȚA",29,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:08",935,921,3,10,1,321,310,0,10,1,311,10,1023,702,34,14,228,17,8,10
11,CARAŞ-SEVERIN,"COLEGIUL TEHNIC REȘIȚA",28,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:06",729,719,5,5,0,305,300,0,5,0,303,2,796,491,40,12,225,10,11,5
