precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
13,CLUJ,"CĂMINUL CLULTURAL",384,"CĂPUŞU MARE",56568,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:17",234,224,0,9,1,138,128,0,9,1,128,10,246,108,4,52,51,18,0,3
13,CLUJ,"CĂMINUL CULTURAL CĂPUŞU MARE",379,"CĂPUŞU MARE",56568,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:24",698,673,6,12,7,454,435,2,10,7,447,7,728,274,300,16,47,46,5,33
13,CLUJ,"CENTRUL DE INFORMARE TURISTICĂ",381,"CĂPUŞU MARE",56568,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:35",599,589,2,6,2,345,337,0,6,2,328,17,652,307,179,12,37,23,48,29
13,CLUJ,"FOSTUL SEDIU CAP",383,"CĂPUŞU MARE",56568,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:48",304,299,0,4,1,187,182,0,4,1,184,3,330,143,51,3,75,44,7,4
13,CLUJ,"ȘCOALA PRIMARĂ AGÂRBICIU",380,"CĂPUŞU MARE",56568,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:08:16",405,358,0,40,7,333,286,0,40,7,315,18,403,70,4,8,137,82,5,79
13,CLUJ,"ŞCOLA CU CLASELE I-IV DÎNGĂUL MARE",382,"CĂPUŞU MARE",56568,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:49:07",373,349,0,12,12,236,212,0,12,12,226,7,402,163,5,14,126,57,5,19
