precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONIŢĂ CORNEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SIMION IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CAPBUN COSTEL-FLORINEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
9,BRĂILA,"CĂMIN CULTURAL",164,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:20:13",248,241,0,7,0,170,163,0,7,0,162,8,300,130,5,39,118
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE JOS",162,"BERTEŞTII DE JOS",42842,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:53",671,669,0,2,0,392,390,0,2,0,381,11,700,308,3,143,235
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE SUS",163,"BERTEŞTII DE JOS",42842,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:27",256,251,0,5,0,154,149,0,5,0,147,7,296,142,4,29,114
9,BRĂILA,"CĂMINUL CULTURAL SPIRU HARET",165,"BERTEŞTII DE JOS",42842,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:44:56",1189,1187,0,2,0,579,577,0,2,0,559,20,1275,696,63,161,335
