precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",393,SARASĂU,106620,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:46",1104,1097,2,2,3,597,592,0,2,3,585,12,1200,603,46,24,326,16,14,3,14,21,121
26,MARAMUREŞ,"CĂMINUL CULTURAL",392,SARASĂU,106620,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:07:30",1236,1223,2,0,11,680,667,2,0,11,659,21,1376,694,46,33,350,7,31,28,36,7,121
