precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPU FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MAZILU FLORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","UŢA SERGIU-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VLADA TUDOR-PARTIDUL NAȚIONAL LIBERAL-voturi"
40,VÂLCEA,"GRĂDINIŢA DOBRUŞA DE SUS",398,ŞTEFĂNEŞTI,173748,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:04",464,439,0,13,12,326,302,0,13,11,316,10,500,174,5,9,196,106
40,VÂLCEA,"GRĂDINIŢA ŞERBĂNEŞTI",399,ŞTEFĂNEŞTI,173748,2,PART,PRCNCT,P,P_SV,"2024-06-13 13:23:36",679,634,0,22,23,482,437,0,22,23,427,55,690,208,4,10,262,151
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII ŞTEFĂNEŞTI",396,ŞTEFĂNEŞTI,173748,4,PART,PRCNCT,P,P_SV,"2024-06-13 14:02:21",990,915,0,31,44,757,682,0,31,44,671,86,1010,253,15,37,390,229
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.1",397,ŞTEFĂNEŞTI,173748,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:21",553,473,0,41,39,419,339,0,41,39,408,11,560,141,8,11,294,95
