precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi"
8,BRAŞOV,"PRIMĂRIA GHIMBAV",249,"ORAŞ GHIMBAV",40214,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:56",1478,1468,3,7,0,729,721,1,7,0,700,29,1620,891,174,71,196,154,105
8,BRAŞOV,"SALA DE SPORT",252,"ORAŞ GHIMBAV",40214,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:02",2041,2021,0,19,1,1162,1142,0,19,1,1147,15,2200,1038,107,254,542,149,95
8,BRAŞOV,"ŞCOALA GENERALĂ GHIMBAV CLASELE I-IV",251,"ORAŞ GHIMBAV",40214,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:01",1541,1528,4,8,1,742,733,0,8,1,716,26,1700,958,138,102,244,145,87
8,BRAŞOV,"ŞCOALA GENERALĂ GHIMBAV CLASELE V-VIII",250,"ORAŞ GHIMBAV",40214,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:34:18",1817,1786,17,11,3,906,889,3,11,3,872,34,2000,1094,136,147,244,167,178
