precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"PRIMARIA COCORA",130,COCORA,93209,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:51:47",787,762,1,2,22,538,514,0,2,22,526,12,852,314,137,389
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ COCORA",129,COCORA,93209,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:14:13",775,743,0,9,23,542,510,0,9,23,532,10,850,308,137,395
