precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARBU COSTIN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","BANU GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","IONIŢĂ FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
16,DÂMBOVIŢA,"ŞCOALA GENERALĂ BĂDULEŞTI",217,CRÂNGURILE,67167,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:41",1137,1136,0,1,0,755,754,0,1,0,737,18,1240,485,469,235,33
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ PĂTROAIA VALE",218,CRÂNGURILE,67167,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:59",900,888,0,12,0,614,602,0,12,0,582,32,984,370,304,264,14
16,DÂMBOVIŢA,"ŞCOALA PRIMARĂ VOIA",219,CRÂNGURILE,67167,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:12",668,664,1,3,0,441,437,1,3,0,422,19,708,267,255,163,4
