precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HĂPRIAN VISARION-PARTIDUL NAȚIONAL LIBERAL-voturi","MOLDOVAN SILVIU-MIHAI-UNIUNEA SALVAȚI ROMÂNIA-voturi","BIŞBOACĂ ANA-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"PRIMĂRIA DAIA ROMÂNĂ",244,"DAIA ROMÂNĂ",4240,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:06",1274,1258,0,8,8,798,782,0,8,8,777,21,1402,604,635,56,86
1,ALBA,"PRIMĂRIA DAIA ROMÂNĂ",245,"DAIA ROMÂNĂ",4240,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:59",1301,1282,0,3,16,761,742,0,3,16,742,19,1402,641,644,34,64
