precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DINA IOANICHE-GEORGEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MORARU NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","MOTEA SILVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂNASIE ION-voturi"
40,VÂLCEA,"ŞCOALĂ GIMNAZIALĂ PIETRARI",337,PIETRARI,172340,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:59",1316,1294,2,3,17,801,780,1,3,17,769,32,1420,619,68,609,43,49
40,VÂLCEA,"ŞCOALA PRIMARĂ PIETRARII DE SUS",338,PIETRARI,172340,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:46",1105,1091,1,3,10,636,622,1,3,10,601,35,1200,564,104,364,32,101
