precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂILESCU GIGI-UNIUNEA SALVAȚI ROMÂNIA-voturi","PÎRVAN MARIUS-IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","LUNGU ALIN-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞUNĂ MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"LOCALUL CĂMINULUI CULTURAL DIN SATUL BĂNEASA",263,SALCIA,153936,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:17",714,624,0,52,38,482,392,0,52,38,477,5,685,203,5,41,87,344
36,TELEORMAN,"LOCALUL CĂMINULUI CULTURAL DIN SATUL TUDOR VLADIMIRESCU",264,SALCIA,153936,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:40",547,502,0,13,32,366,321,0,13,32,357,9,587,221,4,37,56,260
36,TELEORMAN,"LOCALUL CĂMINULUI CULTURAL SALCIA",262,SALCIA,153936,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:41",723,688,0,10,25,386,351,0,10,25,368,18,755,369,18,89,80,181
