precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞULER IOAN-ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FLORIAN ROMEO-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","FARCAŞ CĂLIN-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BÎNDEAN IOSIF-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CHIRALEŞ",155,LECHINŢA,33435,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:15",393,386,0,6,1,195,188,0,6,1,185,10,440,245,22,124,36,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNGEORZU- NOU",156,LECHINŢA,33435,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:44",821,804,3,6,8,415,401,0,6,8,406,9,873,458,16,313,68,9
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL SÎNIACOB",157,LECHINŢA,33435,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:15:03",197,182,0,10,5,135,120,0,10,5,134,1,200,55,4,121,8,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VERMEŞ",159,LECHINŢA,33435,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:36",737,721,0,6,10,370,354,0,6,10,357,13,800,430,17,311,13,16
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ŞCOALA GENERALĂ",154,LECHINŢA,33435,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:44",1205,1182,1,8,14,644,622,0,8,14,626,18,1300,656,41,493,84,8
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI LECHINȚA",153,LECHINŢA,33435,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:01",1189,1175,0,2,12,605,591,0,2,12,574,31,1286,681,21,480,62,11
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ŢIGĂU",158,LECHINŢA,33435,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:56",348,331,0,10,7,242,225,0,10,7,232,10,374,132,6,208,11,7
