precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi"
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",312,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:50:25",1288,1273,7,8,0,627,619,0,8,0,622,5,1600,973,210,54,22,2,244,26,59,5
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",311,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 02:29:21",1546,1508,30,8,0,705,697,0,8,0,680,13,1600,895,239,69,25,10,253,27,52,5
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",350,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:17:42",1125,1098,15,9,3,491,479,0,9,3,478,12,1200,710,144,55,15,2,213,11,36,2
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",351,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 03:59:48",886,869,10,7,0,321,314,0,7,0,312,8,1200,880,103,32,13,5,108,18,30,3
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",352,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 07:24:51",1327,1310,9,8,0,646,637,1,8,0,635,11,1500,854,181,56,26,9,270,29,59,5
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",353,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:00:13",1419,1398,17,4,0,619,615,0,4,0,604,15,1500,881,226,73,23,5,207,26,38,6
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",354,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:01:48",1341,1316,16,9,0,620,611,0,9,0,606,14,1500,880,201,48,8,4,266,16,57,6
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",355,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:50:16",1590,1575,0,15,0,697,682,0,15,0,682,15,1700,1003,253,53,26,5,266,20,55,4
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",333,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:34:32",936,898,17,14,7,428,405,2,14,7,417,11,1153,671,124,34,11,2,196,10,38,2
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",336,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 22:59:08",1452,1414,35,3,0,651,645,3,3,0,632,16,1600,952,231,57,20,3,249,19,48,5
