precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DĂNĂŞEL ILEANA-LOREDANA-PARTIDUL SOCIAL DEMOCRAT-voturi","IUŢALÎM ION-LIVIU-UNIUNEA SALVAȚI ROMÂNIA-voturi","PREDESCU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRELEA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂNICEANU ŞTEFAN-PARTIDUL PRO ROMÂNIA-voturi","PĂSĂRIN GHEORGHE-PARTIDUL ECOLOGIST ROMÂN-voturi","ALMĂJANU DUMITRU-PARTIDUL MIȘCAREA POPULARĂ-voturi"
20,GORJ,"ȘCOALA GENERALĂ SĂCELU",289,SĂCELU,81754,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:37",753,709,0,40,4,561,517,0,40,4,530,31,800,239,182,2,92,243,1,2,8
20,GORJ,"ȘCOALA PRIMARĂ ”ÎNVĂȚĂTOR GRIGORE MAGHERESCU”",290,SĂCELU,81754,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:54",468,443,1,21,3,361,337,0,21,3,350,11,462,101,126,3,29,172,2,6,12
