precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISTICI ALIN-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GORJAN ALIN-MĂDĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢAMBOI MARIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","STOIAN DANA-MIRELA-ALIANȚA USR - SENS-voturi"
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION GHE. PLEŞA”",228,ALMĂJ,70566,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:15:17",1194,1050,0,130,14,891,747,0,130,14,864,27,1112,221,23,558,155,128
17,DOLJ,"ŞCOALA PRIMARĂ ŞITOAIA",229,ALMĂJ,70566,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:23",572,502,0,62,8,446,376,0,62,8,425,21,600,154,5,289,89,42
