precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POLGÁR ÁRPÁD-CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DANGULY ERVIN-voturi"
21,HARGHITA,"CASA COMUNITARĂ",158,LĂZAREA,84594,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:32:38",157,150,2,5,0,82,77,0,5,0,78,4,298,216,49,29
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” LĂZAREA",157,LĂZAREA,84594,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:41",1105,1095,1,8,1,602,593,0,8,1,535,67,1200,598,242,293
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR” LĂZAREA",156,LĂZAREA,84594,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:11:13",1691,1655,5,8,23,918,896,1,3,18,886,32,1700,782,372,514
