precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂCURAR VIRGIL-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLDOVAN ANA-LILIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA ADELINA-ARABELA-UNIUNEA SALVAȚI ROMÂNIA-voturi","CREŢA DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂRGINEAN CRUCIŢA-FORȚA DREPTEI-voturi","COSTANTEA FILIP-SEBASTIAN-PARTIDUL PRO ROMÂNIA-voturi"
13,CLUJ,"CAMIN CULTURAL BOLDUT",400,"CEANU MARE",56844,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:43:09",674,665,0,4,5,383,374,0,4,5,371,12,738,355,105,133,39,16,47,31
13,CLUJ,"CAMIN CULTURAL CEANU MARE",398,"CEANU MARE",56844,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:45:58",1093,1066,1,23,3,631,604,1,23,3,604,27,1176,545,95,131,117,88,16,157
13,CLUJ,"GRADINITA BOIAN",399,"CEANU MARE",56844,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:09",726,717,0,8,1,408,399,0,8,1,397,11,791,383,178,93,49,18,17,42
13,CLUJ,"SCOALA DOSU NAPULUI",401,"CEANU MARE",56844,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:46",101,91,0,7,3,71,61,0,7,3,66,5,103,32,14,5,20,8,2,17
13,CLUJ,"SCOALA PRIMARA IACOBENI",402,"CEANU MARE",56844,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:22",499,487,1,9,2,316,305,0,9,2,309,7,539,223,67,30,63,46,24,79
