precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEAGOE GHEORGHE-voturi","DĂNCĂNEŢ STELIAN-voturi"
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",340,SADU,145471,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:38",908,888,1,3,16,635,616,0,3,16,615,20,1000,365,51,52,360,48,71,33
34,SIBIU,"CĂMINUL CULTURAL AL COMUNEI SADU",341,SADU,145471,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:42",1336,1311,10,13,2,881,864,2,13,2,851,30,1453,572,126,97,408,68,96,56
