precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","BRATU MARIAN-voturi"
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:23",1105,1101,0,3,1,618,614,0,3,1,585,29,1202,588,56,462,67
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.1 SLOBOZIA",212,SLOBOZIA,100549,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:11:27",763,763,0,0,0,428,428,0,0,0,409,19,843,415,59,251,99
