precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROŞU EMANUELA-LUMINIŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","COSTUŢ GLIGOR-PARTIDUL NAȚIONAL LIBERAL-voturi","BORNEA NICOLAE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"CĂMINUL CULTURAL CĂRAND",228,CĂRAND,10346,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:54",491,464,0,14,13,348,321,0,14,13,331,17,520,172,191,137,3
2,ARAD,"CĂMINUL CULTURAL SELIŞTEA",229,CĂRAND,10346,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:49:44",437,417,0,11,9,292,272,0,11,9,280,12,446,154,96,157,27
