precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞICLOVAN PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MALIŢA TEODOR-PARTIDUL SOCIAL DEMOCRAT-voturi","TODOR ADELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHILEA IOAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"CĂMINUL CULTURAL BODROGU NOU",432,ZĂDĂRENI,12938,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:52:22",240,228,0,5,7,143,131,0,5,7,141,2,270,127,107,23,6,5
2,ARAD,"SALA DE ŞEDINŢE A CONSILIULUI LOCAL ZĂDĂRENI",430,ZĂDĂRENI,12938,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:15",1028,1006,2,4,16,535,515,0,4,16,518,17,1100,565,407,63,38,10
2,ARAD,"SEDIU S.V.S.U. ZĂDĂRENI",431,ZĂDĂRENI,12938,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:28",1255,1211,4,3,37,678,636,2,3,37,656,22,1352,674,522,84,31,19
