precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi"
30,OLT,"ŞCOALA CU CLASELE I-VIII CHILIA",193,FĂGEŢELU,126905,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:23:31",357,238,0,113,6,307,188,0,113,6,278,29,350,43,18,45,175,24,16
30,OLT,"ŞCOALA GIMNAZIALĂ FĂGEŢELU",192,FĂGEŢELU,126905,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:30",503,380,0,102,21,371,248,0,102,21,354,17,517,146,78,10,171,38,57
