precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEFTER SORIN-DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","ARDELEANU COCA-UNIUNEA SALVAȚI ROMÂNIA-voturi"
23,IALOMIŢA,"PRIMARIA COCORA",130,COCORA,93209,3,PART,PRCNCT,P,P_SV,"2024-06-13 13:52:10",787,762,1,2,22,538,514,0,2,22,523,15,881,343,378,145
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ COCORA",129,COCORA,93209,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:14:12",775,743,0,9,23,542,510,0,9,23,535,7,843,301,388,147
