precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","DRAGOŞ ANA-ADRIANA-voturi"
32,"SATU MARE","CĂMIN CULTURAL COMLĂUȘA",133,BĂTARCI,136919,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:21",872,863,2,2,5,365,358,0,2,5,347,18,931,566,185,84,21,0,45,12
32,"SATU MARE","CĂMIN CULTURAL TĂMĂŞENI",134,BĂTARCI,136919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:01:20",332,311,1,9,11,225,204,1,9,11,214,11,400,175,18,24,3,167,2,0
32,"SATU MARE","SCOALA GIMNAZIALA BĂTARCI",132,BĂTARCI,136919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:47:32",1879,1848,0,16,15,825,794,0,16,15,793,32,2000,1174,325,289,68,18,61,32
