precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAG RADU-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA IONUŢ-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","TOADERE PETRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BRICIU MIRCEA-GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LAZĂR FABIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"CAMINUL CULTURAL CĂLĂŢELE PĂDURE",371,CĂLĂŢELE,56461,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:58:21",231,207,0,19,5,186,162,0,19,5,183,3,235,49,110,8,39,10,16
13,CLUJ,"CĂMINUL CULTURAL FINCIU",374,CĂLĂŢELE,56461,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:31",118,105,3,10,0,89,76,3,10,0,85,3,119,31,13,10,49,11,2
13,CLUJ,"CĂMINUL CULTURAL VĂLENI",375,CĂLĂŢELE,56461,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:35:45",262,257,0,5,0,154,149,0,5,0,150,4,292,138,44,46,18,19,23
13,CLUJ,"SCOALA CĂLATA",372,CĂLĂŢELE,56461,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:21",336,328,0,6,2,242,234,0,6,2,235,7,370,128,61,94,50,18,12
13,CLUJ,"ŞCOALA DIN CĂLĂŢELE",370,CĂLĂŢELE,56461,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:05:11",719,706,1,2,10,377,365,0,2,10,359,18,776,399,162,36,115,20,26
13,CLUJ,"ŞCOALA DIN DEALU NEGRU",373,CĂLĂŢELE,56461,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:31",338,316,1,11,10,256,234,1,11,10,247,9,368,112,39,35,65,89,19
