precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
9,BRĂILA,"ȘCOALA GIMNAZIALĂ DROGU",189,GALBENU,43180,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:16:35",695,642,0,33,20,461,408,0,33,20,438,23,700,239,30,69,321,7,11
9,BRĂILA,"ȘCOALA GIMNAZIALĂ PÂNTECANI",190,GALBENU,43180,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:59:06",148,134,0,10,4,104,90,0,10,4,101,3,173,69,12,15,70,0,4
9,BRĂILA,"ȘCOALA GIMNAZIALĂ SĂTUC",191,GALBENU,43180,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:58",558,538,0,6,14,360,340,0,6,14,345,15,600,240,121,98,118,3,5
9,BRĂILA,"ȘCOALA GIMNAZIALA ”TOMA TAMPEANU” GALBENU",188,GALBENU,43180,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:05",754,722,0,10,22,479,447,0,10,22,465,14,800,321,41,113,238,15,58
9,BRĂILA,"ȘCOALA GIMNAZIALĂ ZAMFIREȘTI",192,GALBENU,43180,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:10:00",289,266,0,9,14,209,186,0,9,14,202,7,300,91,24,16,144,2,16
