precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"SCOALA GENERALA CIRNICENI",737,ŢIGĂNAŞI,99879,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:51:04",1281,1275,1,5,0,641,636,0,5,0,613,28,1400,759,407,151,32,8,15
24,IAŞI,"SCOALA GENERALA MIHAIL KOGALNICEANU",738,ŢIGĂNAŞI,99879,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:46",1152,1150,0,1,1,509,507,0,1,1,475,34,1300,791,383,29,45,1,17
24,IAŞI,"SCOALA GIMNAZIALA ”COSTACHE ANTONIU”TIGANASI",736,ŢIGĂNAŞI,99879,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:39",1163,1160,1,2,0,611,608,1,2,0,579,32,1200,589,372,40,66,5,96
24,IAŞI,"SCOALA PRIMARA STEJARII",739,ŢIGĂNAŞI,99879,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:46:25",255,251,0,4,0,133,129,0,4,0,123,10,319,186,90,8,15,3,7
