precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HULDUŞAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"CĂMINUL CULTURAL PĂLATCA",578,PĂLATCA,58794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:45",655,568,1,72,14,441,354,1,72,14,409,32,649,208,409
13,CLUJ,"CĂMINUL CULTURAL SAVA",579,PĂLATCA,58794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:08",267,227,1,37,2,155,116,0,37,2,145,10,243,88,145
